Diseases,Meaningful_Symptoms,Has_Disease
Urinary tract infection (redirect from Honeymoon disease),,Yes
Pneumonia (category Coronavirus-associated diseases),,Yes
Bronchiectasis (category Chronic lower respiratory diseases),,Yes
Streptococcal pharyngitis (section Signs and symptoms),,Yes
Medical students' disease,,Yes
Chronic kidney disease,.,Yes
HIV/AIDS (redirect from Aids Symptoms),,Yes
Hirschsprung's disease,,Yes
Hypothyroidism (category Endocrine diseases),ificant,Yes
Reactive arthritis (redirect from Reiter's disease),,Yes
Cardiovascular disease in women,.,Yes
Lymphatic disease,",",Yes
Diarrhea (redirect from Diarrheal diseases),,Yes
Encephalitis lethargica (redirect from Economo's disease),,Yes
Sanfilippo syndrome (redirect from San filippo disease),,Yes
Typhus (redirect from Typhus (disease)),,Yes
Chlamydia (category Sexually transmitted diseases and infections),,Yes
Nipah virus infection (category Chiroptera-borne diseases),,Yes
Congenital syphilis (section Signs and symptoms),.,Yes
Genetic disorder (redirect from Hereditary diseases),,Yes
Rheumatoid arthritis (category Connective tissue diseases),,Yes
Raynaud syndrome (redirect from Raynaud's disease and Raynaud's phenomenon),,Yes
Scurvy (redirect from Wort and rob),.,Yes
Lewy body dementias (redirect from Sociological and cultural aspects of Lewy body dementia),,Yes
Asymptomatic carrier (category Infectious diseases),,Yes
Immune reconstitution inflammatory syndrome (section Signs and symptoms),",",Yes
Bornholm disease,,Yes
Vascular disease,,Yes
Gaucher's disease,,Yes
Aspirin-exacerbated respiratory disease,,Yes
Gastroenteritis (category Infectious diseases),,Yes
Autoimmune skin diseases in dogs,,Yes
Pogosta disease,,Yes
Globalization and disease,,Yes
Hypertrophic cardiomyopathy (redirect from Spike and dome pulse),,Yes
Non-Hodgkin lymphoma (redirect from Non-Hodgkin's disease),,Yes
Spinal disease,,Yes
Stroke (redirect from Signs and symptoms of stroke),,Yes
Hereditary spastic paraplegia (redirect from Strumpell-lorrain disease),,Yes
Carpal tunnel syndrome (section Symptoms),,Yes
Bright's disease,,Yes
Dermatomyositis (redirect from Malignant disease with dermatomyositis),",",Yes
Dumping syndrome (section Signs and symptoms),,Yes
Pyelonephritis (category Kidney diseases),,Yes
Alice in Wonderland syndrome (category Symptoms and signs of mental disorders),,Yes
Nasal polyp (section Signs and symptoms),,Yes
Constipation (category Digestive disease symptoms),,Yes
Signs and symptoms of pregnancy,.,Yes
Argas persicus (section Disease and Symptoms),,Yes
Acute exacerbation of chronic obstructive pulmonary disease,,Yes
Valvular heart disease,,Yes
Gonorrhea (section Signs and symptoms),,Yes
Sporotrichosis (redirect from Rose gardener's disease),,Yes
Amoebiasis (category Intestinal infectious diseases),,Yes
Gallstone (redirect from Gallstone disease),.,Yes
Heartburn (category Symptoms and signs: Digestive system and abdomen),.,Yes
Rare disease,&,Yes
Myalgia (category Symptoms and signs: Nervous and musculoskeletal systems),,Yes
Batten disease,,Yes
African tick bite fever (section Signs and symptoms),,Yes
Aura (symptom),,Yes
Trichinosis (redirect from Trichine disease),,Yes
Vaginitis (redirect from Circinate (Reiter's disease) vulvovaginitis),",",Yes
Gastric acid (section Role in disease),,Yes
Milk borne diseases,,Yes
Meningitis (category Wikipedia infectious disease articles ready to translate),,Yes
Gangrene (redirect from Gang green disease),,Yes
Rectal discharge (category Symptoms and signs: Digestive system and abdomen),,Yes
Transverse myelitis (category Autoimmune diseases),,Yes
Attention deficit hyperactivity disorder (redirect from Disturbance of activity and attention),&,Yes
Drug withdrawal (redirect from Withdrawal symptoms),,Yes
Black pod disease,,Yes
Upper respiratory tract infection (category Infectious diseases),,Yes
Endotype (redirect from Disease entity),,Yes
Abscess (section Signs and symptoms),,Yes
Hematochezia,",",Yes
Thyrotoxic myopathy (category Myoneural junction and neuromuscular diseases),,Yes
Lymphoma (section Signs and symptoms),-,Yes
Laryngitis (section Signs and symptoms),,Yes
Management of Parkinson's disease,(,Yes
Rash (category Symptoms and signs: Skin and subcutaneous tissue),,Yes
Hurler syndrome (redirect from Hurler's disease),.,Yes
Conjunctivitis (section Signs and symptoms),,Yes
Tay–Sachs disease,,Yes
Alexander disease,,Yes
Scleroderma (category Autoimmune diseases),,Yes
Appendicitis (category Diseases of appendix),,Yes
Endocrinology (redirect from Endocrinal diseases),",",Yes
Urethritis (redirect from Urogenital symptoms),;,Yes
Abdominal distension (category Symptoms and signs: Digestive system and abdomen),,Yes
Corticobasal degeneration (category Rare diseases),,Yes
"Blepharitis (category Disorders of eyelid, lacrimal system and orbit)",,Yes
Encephalitis (category Infectious diseases),,Yes
Arthritis (category Aging-associated diseases),",",Yes
Myocarditis (category Chronic rheumatic heart diseases),,Yes
Chronic wasting disease,,Yes
Genital wart (category Papillomavirus-associated diseases),,Yes
Sickle cell disease,,Yes
Lemierre's syndrome (redirect from Lemierre's disease),,Yes
Krabbe disease,,Yes
Progressive supranuclear palsy (redirect from Steele-Richardson-Olszewski disease),.,Yes
Gluten-free diet (section Coeliac disease),,Yes
Chikungunya (redirect from Chikungunya viral disease),,Yes
Colitis (category Noninfective enteritis and colitis),,Yes
Rocky Mountain spotted fever (redirect from Blue disease),,Yes
Neurogenic bladder dysfunction (section Signs and symptoms),,Yes
Cushing's disease,:,Yes
Postorgasmic illness syndrome (category Autoimmune diseases),.,Yes
Dropsy in fish (redirect from Dropsy (fish disease)),,Yes
"Amplified musculoskeletal pain syndrome (category Nerve, nerve root and plexus disorders)",,Yes
Tetanus (redirect from Tetanus disease),,Yes
Neurocysticercosis (category Parasitic diseases associated with beef and pork consumption),,Yes
Myositis,.,Yes
Candidiasis (redirect from Thrush (disease)),,Yes
Thrombotic thrombocytopenic purpura (redirect from Moschcowitz disease),,Yes
Latent period (epidemiology) (category Infectious diseases),,Yes
Asperger syndrome (redirect from Aspergers symptoms),,Yes
"Gastroparesis (category Diseases of oesophagus, stomach and duodenum)",,Yes
Pharyngitis (category Infectious diseases),,Yes
Fabry disease,,Yes
Sheehan's syndrome (redirect from Simmond's Disease),,Yes
Hernia (section Signs and symptoms),,Yes
Hiatal hernia (section Signs and symptoms),,Yes
Natural history of disease,,Yes
Posterior reversible encephalopathy syndrome (section Signs and symptoms),,Yes
Verticillium dry bubble (section Host range and symptoms),,Yes
Dercum's disease,,Yes
Bell's palsy (section Signs and symptoms),,Yes
Lactose intolerance (redirect from Lactase persistence vs. lactose intolerance and deficiencies),,Yes
Anorexia (symptom),,Yes
Impetigo (section Signs and symptoms),,Yes
Plague (disease),,Yes
Psychosis (section Signs and symptoms),,Yes
Psoriasis (redirect from Early onset and severe psoriasis),,Yes
Maple syrup urine disease,,Yes
Paresthesia (redirect from Pins and needles),,Yes
Major depressive disorder (redirect from Depression symptoms),,Yes
West Nile virus (section Disease),,Yes
Anticipation (genetics) (section Examples of diseases showing anticipation),.,Yes
Paratyphoid fever (category Intestinal infectious diseases),,Yes
Volvulus (category Diseases of intestines),,Yes
Salmeterol (section Pregnancy and lactation),,Yes
Polycystic kidney disease,,Yes
Degenerative disease,,Yes
Anaphylaxis (category Respiratory diseases),,Yes
Amyloidosis (redirect from Abercrombie's disease),,Yes
ICD-11 (redirect from ICD-11 MMS Chapter 1: Certain infectious or parasitic diseases),,Yes
Haemophilia B (redirect from Christmas disease),,Yes
Alternaria solani (category Fungal plant pathogens and diseases),(,Yes
Chronic mucocutaneous candidiasis (section Signs and symptoms),.,Yes
Atypical pneumonia (section Signs and symptoms),,Yes
Gastroenterology (section Disease classification),,Yes
Endometriosis (section Signs and symptoms),,Yes
CREST syndrome (category Connective tissue diseases),,Yes
Toxic shock syndrome (redirect from Tampon disease),,Yes
Pellagra (category Wikipedia infectious disease articles ready to translate),,Yes
Exacerbation (category Symptoms),,Yes
Blood in stool,,Yes
Nosology (section Extended nosology and general medical conditions),.,Yes
Pleurisy (category Symptoms and signs: Respiratory system),-,Yes
Schamberg disease,atology,Yes
Dermatitis herpetiformis (redirect from Duhring disease),,Yes
Benign fasciculation syndrome (section Signs and symptoms),,Yes
International Lyme and Associated Diseases Society,,Yes
Trinucleotide repeat disorder (redirect from Trinucleotide repeat expansion diseases),,Yes
Hepatitis A (category Vaccine-preventable diseases),.,Yes
Witch's broom (category Plant pathogens and diseases),.,Yes
Gallbladder disease,",",Yes
Acromegaly (section Signs and symptoms),,Yes
Dysthymia (section Signs and symptoms),,Yes
Heart failure (redirect from Congestive heart disease),,Yes
Rheumatic fever (redirect from Rheumatic Heart Disease),,Yes
Chest pain (section Signs and symptoms),",",Yes
Neurasthenia (section Symptoms),,Yes
Palpitations (category Symptoms and signs: Circulatory system),.,Yes
Impacted wisdom teeth (section Signs and symptoms),: `` ',Yes
Pogona (section Metabolic bone disease),,Yes
Cryoglobulinemia (category Hepatitis C virus-associated diseases),.,Yes
Mumps (category Vaccine-preventable diseases),,Yes
Pancreatic cancer (section Signs and symptoms),,Yes
Gilbert's syndrome (redirect from Gilberts disease),,Yes
Lysosomal storage disease,",",Yes
Marburg virus disease,,Yes
"FODMAP (redirect from Fermentable Oligo-, Di-, Monosaccharides And Polyols)",,Yes
Autoimmune urticaria (category Autoimmune diseases),,Yes
De Quervain syndrome (redirect from De Quervain's disease),,Yes
Oculocutaneous albinism type I (section Signs and symptoms),.,Yes
Vaginal yeast infection (category Inflammatory diseases of female pelvic organs),,Yes
Idiopathic multicentric Castleman disease,,Yes
Darier's disease,,Yes
Autoinflammatory diseases,,Yes
Myoclonic dystonia (category Extrapyramidal and movement disorders),,Yes
Fatty liver disease,,Yes
Herpes gladiatorum (redirect from Wrestling and herpes),,Yes
International Classification of Diseases,,Yes
Carol Jennings (category Alzheimer's disease activists),,Yes
Small fiber peripheral neuropathy (section Signs and symptoms),",",Yes
Pernicious anemia (redirect from Biermer disease),,Yes
Bird fancier's lung (section Signs and symptoms),,Yes
Spinal and bulbar muscular atrophy,,Yes
Inborn errors of metabolism (redirect from Metabolic Diseases),,Yes
Central nervous system viral disease,,Yes
Diabetes (redirect from Symptoms of diabetes),,Yes
Trigger finger (category Disorders of synovium and tendon),,Yes
Brachydactyly (redirect from Brachymesophalangy II and V),,Yes
Thalassemia (category Disorders of globin and globulin proteins),,Yes
Tick infestation (category Tick-borne diseases),,Yes
Influenza-like illness (redirect from Flu like symptoms),,Yes
IgA nephropathy (redirect from Berger's disease),,Yes
Undifferentiated connective tissue disease,",",Yes
Chickenpox (category Vaccine-preventable diseases),",",Yes
Thiamine deficiency (section Signs and symptoms),,Yes
Organic personality disorder (section Signs and symptoms),,Yes
Infectious diseases (medical specialty),,Yes
Asbestosis (redirect from Asbestos lung disease),,Yes
Somatosensory amplification (category Somatic symptom disorders),,Yes
Allergic rhinitis (section Signs and symptoms),,Yes
Tennis elbow (section Signs and symptoms),,Yes
Lymphatic filariasis (category Wikipedia infectious disease articles ready to translate),,Yes
Hereditary neuropathy with liability to pressure palsy (section Signs and symptoms),,Yes
Jembrana disease,",",Yes
Post-concussion syndrome (redirect from Post-concussion symptoms),,Yes
Granulomatosis with polyangiitis (redirect from Wegener's disease),,Yes
Gluten (section Celiac disease),,Yes
Atopic dermatitis (section Signs and symptoms),,Yes
Multiple myeloma (redirect from Kahler's disease),",",Yes
Vasculitis (redirect from Gougerot Ruiter disease),,Yes
Anemia (section Signs and symptoms),.,Yes
Anxiety disorder (section Perception and Discrimination),,Yes
Mpox (category Animal viral diseases),,Yes
Ataxia–telangiectasia (category DNA replication and repair-deficiency disorders),,Yes
Niemann–Pick disease,,Yes
Altitude sickness (redirect from Altitude Diseases),,Yes
Drug rash with eosinophilia and systemic symptoms,,Yes
Leprosy (redirect from Societal and cultural aspects of leprosy),",",Yes
Enteritis (category Intestinal infectious diseases),,Yes
Major depressive episode (redirect from Severe depressive episode without psychotic symptoms),,Yes
Ascariasis (category Tropical diseases),,Yes
Foot-and-mouth disease,,Yes
Bipolar disorder (redirect from Bipolar affective disease),,Yes
Ziehl–Neelsen stain,",",Yes
Shingles (category Viral diseases),,Yes
Interstitial cystitis (section Signs and symptoms),,Yes
Neuro-Behçet's disease,,Yes
Protein toxicity (category Symptoms and signs),.,Yes
Reactive airway disease,,Yes
Transmissible spongiform encephalopathy,,Yes
Liver disease,,Yes
Pneumothorax (section Signs and symptoms),,Yes
Chronic condition (redirect from Chronic diseases),,Yes
Medical encyclopedia,,Yes
Fever (category Symptoms and signs),,Yes
Paraneoplastic syndrome (redirect from Paraneoplastic disease),",",Yes
Multiple sclerosis signs and symptoms,.,Yes
Cardiovascular disease,,Yes
List of pests and diseases of roses,:,Yes
Machado–Joseph disease,,Yes
Morvan's syndrome (redirect from Morvan's disease),,Yes
Disabilities affecting intellectual abilities (section Neurodegenerative diseases),.,Yes
Babesiosis (redirect from Red water disease),,Yes
Granulomatous amoebic encephalitis (category Waterborne diseases),,Yes
White dot syndromes (category Eye diseases),",",Yes
Osteoarthritis (redirect from Degenerative joint disease),,Yes
Epididymitis (section Signs and symptoms),,Yes
Peritonsillar abscess (category Bacterial diseases),,Yes
Chilblains (category Foot diseases),.,Yes
List of sugarcane diseases,,Yes
Laryngopharyngeal reflux (redirect from Laryngopharyngeal reflux disease),,Yes
Iridovirus dwarf gourami disease,,Yes
Mitochondrial DNA depletion syndrome (redirect from Alpers' disease),.,Yes
Somatic Symptom Scale - 8,,Yes
"ICD-10 (redirect from ICD-10 Chapter H: Diseases of the eye, adnexa, ear, and mastoid process)",.,Yes
Inclusion body myositis (section Signs and symptoms),.,Yes
Coxsackie A virus (redirect from Coxsackie disease),,Yes
Coxsackie B4 virus (section Symptoms),,Yes
Craniocervical instability (category Human diseases and disorders),,Yes
Angor animi (redirect from Gairdner's disease),,Yes
Thorax,,Yes
Acute bronchitis (section Signs and symptoms),,Yes
Coccidioidomycosis (redirect from California disease),,Yes
Factitious disorder imposed on self (redirect from Fake disease),,Yes
Bed bug (section Society and culture),",",Yes
Dhat syndrome (section Signs and symptoms),.,Yes
Goodpasture syndrome (redirect from Goodpasture's disease),.,Yes
Degenerative disc disease,,Yes
Patent medicine (section Patent medicines and advertising),,Yes
Pityriasis rosea (redirect from Gibert's disease),",",Yes
Spinocerebellar ataxia (category Rare diseases),.,Yes
Dyshidrosis (redirect from Chronic vesicular eczema of hands and feet),",",Yes
Allopathic medicine,.,Yes
Urologic disease,,Yes
Hyperemesis gravidarum (section Signs and symptoms),,Yes
Hypophosphatasia (category Rare diseases),.,Yes
Weakness (category Symptoms and signs: Nervous system),,Yes
Lymphogranuloma venereum (redirect from Durand–Nicolas–Favre disease),,Yes
Coccidiosis (category Parasitic diseases),,Yes
Sever's disease,,Yes
Moyamoya disease,,Yes
Dry eye syndrome (redirect from Dry eye disease),,Yes
Ehrlichiosis (category Tick-borne diseases),.,Yes
Canine distemper (category Dog diseases),,Yes
Osteomyelitis (category Bacterial diseases),,Yes
African trypanosomiasis (category Insect-borne diseases),,Yes
Ichthyosis (category Rare diseases),,Yes
Nephrotic syndrome (category Kidney diseases),,Yes
Jumping Frenchmen of Maine (section Signs and symptoms),",",Yes
Adjustment disorder (section Signs and symptoms),,Yes
Study uncovers potential mechanism for increased fracture risk among PPI users,,Yes
Can consumers trust the health claims made on fish oil supplement labels?,",",Yes
AAP warns against keto diet for children with diabetes,,Yes
European Respiratory Society: Doctors use patients' own lung cells to repair COPD damage,,Yes
What is the impact of vaccination after long COVID?,,Yes
Podcast Recap | AMA Update: Getting rid of stupid stuff to make your private practice more efficient,,Yes
FDA issues statement clarifying advisory committee findings on oral phenylephrine,,Yes
New AI tools help clinicians screen for mental health conditions,,Yes
NIH clinical trial of universal flu vaccine candidate begins,,Yes
"As more patients email doctors, health systems start charging fees",,Yes
Temozolamide indications updated under FDA's Project Renewal program,,Yes
Test your knowledge: COVID-19 vaccines for patients with recent SARS-CoV-2 infection,,Yes
Zebra of the Week: Huntington disease,,Yes
"Staying up late tied to unhealthy lifestyle, diabetes risk",,Yes
Study finds link between haloperidol use and risk of rheumatoid arthritis,,Yes
Does IV ferric carboxymaltose improve outcomes in patients with HF and iron deficiency?,,Yes
Suspected Legionella transmission from donor to two lung transplant recipients,,Yes
"One oral HIV PrEP regimen linked to higher risk of hypertension, statin use",,Yes
High levels of particulate air pollution associated with increased breast cancer incidence,,Yes
"COCA Call: Thurs., Sept. 21 - Diagnosing mycoses blastomycosis, coccidioidomycosis, and histoplasmosis",,Yes
Abortion bans fuel rise in high-risk patients heading to Illinois hospitals,,Yes
AHA: Cold weather may pose challenges to treating high blood pressure,,Yes
Ovarian cancer: NICE recommends expanding availability of genetic testing,,Yes
,,Yes
Curcumin and omeprazole compared in functional dyspepsia patients,,Yes
Antihypertensive use tied to reduced dementia risk in late life,,Yes
Does SSRI use during pregnancy affect a child’s brain development?,,Yes
"National Physician Suicide Awareness Day: Sunday, Sept. 17",,Yes
Being breastfed as an infant tied to increased colorectal cancer risk,,Yes
"Your COVID update for September 15, 2023",,Yes
New brand drug - Eylea HD (aflibercept intravitreal),,Yes
"Picture Quiz: A lumpy, red ear in a renal transplant patient",,Yes
Novel blood test for chronic fatigue syndrome has 91% accuracy,,Yes
Aldosterone synthase inhibitor shows promise as BP-lowering agent in phase 2 trial,,Yes
"COCA Call: Tues., Sept. 19 - Preparing for the upcoming respiratory virus season",,Yes
"What your patients are reading: Week of September 11, 2023",,Yes
Should ACS patients start with combination lipid therapy?,,Yes
Is investigational gefapixant effective for chronic cough?,,Yes
"What's this pill? | September 14, 2023",,Yes
"Are 10,000 steps per day really necessary to realize health benefits?",,Yes
epocrates Featured Calculator: Edinburgh Postnatal Depression Scale (EPDS),,Yes
FDA warns companies about marketing unapproved eye products,,Yes
Young boy suffering chronic pain for 3 years finally receives correct diagnosis from ChatGPT,,Yes
New brand drug - Brixadi (buprenorphine),,Yes
,,Yes
Which states vaccinate the most?,,Yes
FDA approves drug for stem cell mobilization for ASCT in multiple myeloma,,Yes
Statin use linked to lower colorectal cancer risk in patients with IBD,,Yes
,,Yes
Are expired OTC COVID-19 tests still safe and effective?,,Yes
NIH investigates multidrug-resistant bacterium emerging in community settings,,Yes
Increased risk of thyroid eye disease following COVID-19 vaccination,,Yes
Withdrawn indication - Gavreto (pralsetinib),,Yes
Zebra of the Week: Dravet syndrome,,Yes
What's the effect of hormone therapy on sexual function in postmenopausal women?,,Yes
,,Yes
,,Yes
Topical treatments for atopic dermatitis: How do they stack up?,,Yes
2023 flu vaccine cut hospitalizations by half in Southern Hemisphere,,Yes
Does NSAID use increase VTE risk among women using hormonal contraception?,,Yes
Providing vs. recommending prenatal supplements with iron to pregnant people,,Yes
Drug Shortage Update: FDA unclear when Wegovy supply limits will resolve,,Yes
Regenerative medicine: Scientists grow human kidneys in pigs,,Yes
Update: Outbreak of locally acquired malaria in Florida and Texas,,Yes
Statin cuts CV risk in patients with HIV infection,,Yes
New brand drug - Veopoz (pozelimab-bbfg),,Yes
Test your knowledge: Vibrio vulnificus wound infection risk,,Yes
FDA drops REMS requirement for alosetron (Lotronex),,Yes
CDC: Pneumococcal vaccine recommendations for adults,,Yes
,,Yes
