Diseases,Symptoms
Kawasaki disease,"brain disease within the transmissible spongiform encephalopathy family. Initial symptoms include psychiatric problems, behavioral changes, and painful..."
Huntington's disease,"range of symptoms. Examples of symptoms include paralysis, muscle weakness, poor coordination, loss of sensation, seizures, confusion, pain and altered..."
Four Big Pollution Diseases of Japan,"onset of the disease. MI in children presents with different symptoms from those in adults. The main symptoms were shock, unrest, vomiting, and abdominal..."
Addison's disease,"impulsivity at times. The specific symptoms vary somewhat between people. Symptoms usually begin between 30 and 50 years of age, and can start at any age but are..."
Sarcoidosis (redirect from Besnier-Boeck-Schaumann disease),"The four big pollution diseases of Japan (四大公害病, yondai kōgai-byō) were a group of man-made diseases all caused by environmental pollution due to improper..."
Gastrointestinal disease,"cortisol and aldosterone by the two outer layers of the cells of the adrenal glands (adrenal cortex), causing adrenal insufficiency. Symptoms generally..."
Chronic Lyme disease,"heart, and brain, though any organ can be affected. The signs and symptoms depend on the organ involved. Often, no, or only mild, symptoms are seen..."
Central nervous system disease,"Gastrointestinal diseases (abbrev. GI diseases or GI illnesses) refer to diseases involving the gastrointestinal tract, namely the esophagus, stomach,..."
Kuru (disease),"Lyme-causing Borrelia bacteria, and which may have similar symptoms to CLD. Despite numerous studies, there is no evidence that symptoms associated with CLD are..."
Asymptomatic (redirect from Subclinical symptoms),"They are a congenital disorder, and in some cases may not show symptoms. However, if there is a large cyst, symptoms may include headache, seizures, ataxia..."
Crohn's disease,"Before the onset of clinical symptoms, an individual can also present with prodromal symptoms including headache and joint pain in the legs. In the..."
Cancer signs and symptoms,"the medical conditions (i.e., injuries or diseases) that patients carry but without experiencing their symptoms, despite an explicit diagnosis (e.g., a..."
Cerebrovascular disease,Crohn's disease is a type of inflammatory bowel disease (IBD) that may affect any segment of the gastrointestinal tract. Symptoms often include abdominal...
Rabies (redirect from Symptoms of rabies),cancer with a wide range of signs and symptoms which can manifest in different ways. Cancer is a group of diseases involving abnormal cell growth with...
Stomach disease,"may also be a presenting symptom. The disease may begin to show symptoms beginning in adolescence, but some may not have symptoms until adulthood. When a..."
COVID-19 (redirect from 2019-nCoV Acute Respiratory Disease),Early symptoms can include fever and tingling at the site of exposure. These symptoms are followed by one or more of the following symptoms: nausea...
Roseola (redirect from Sixth disease),"Stomach diseases include gastritis, gastroparesis, Crohn's disease and various cancers. The stomach is an important organ in the body. It plays a vital..."
Infectious mononucleosis (redirect from Pfeiffer's disease),"different symptoms, and their symptoms may change over time. Three common clusters of symptoms have been identified: one respiratory symptom cluster with..."
Dementia with Lewy bodies (redirect from Diffuse Lewy body disease),"sixth disease, is an infectious disease caused by certain types of human herpes viruses. Most infections occur before the age of three. Symptoms vary from..."
Wilson's disease,are infected can spread the disease weeks before symptoms develop. Mono is primarily diagnosed based on the symptoms and can be confirmed with blood tests...
Castleman disease,of the disease. These early signs and symptoms can appear 15 years or more before dementia develops. The earliest symptoms are constipation and dizziness...
Giardiasis (redirect from Hiker's Disease),Wilson's disease is a genetic disorder in which excess copper builds up in the body. Symptoms are typically related to the brain and liver. Liver-related...
Ménière's disease,"Castleman disease (CD) describes a group of rare lymphoproliferative disorders that involve enlarged lymph nodes, and a broad range of inflammatory symptoms and..."
Demyelinating disease,"have no symptoms) may have diarrhea, abdominal pain, and weight loss. Less common symptoms include vomiting and blood in the stool. Symptoms usually begin..."
Scabies (category Tropical diseases),Diagnosis is based on the symptoms and a hearing test. Other conditions that may produce similar symptoms include vestibular migraine and transient ischemic...
Lupus (redirect from Lupus and the brain),Demyelinating diseases are traditionally classified into two types: demyelinating myelinoclastic diseases and demyelinating leukodystrophic diseases. In the...
Nail disease,"person usually develops symptoms within two to six weeks. During a second infection, symptoms may begin within 24 hours. These symptoms can be present across..."
Signs and symptoms of Graves' disease,autoimmune disease in which the body's immune system mistakenly attacks healthy tissue in many parts of the body. Symptoms vary among people and may be mild...
Chagas disease,"skin and is a skin appendage, nail diseases have a distinct classification as they have their own signs and symptoms which may relate to other medical..."
Dengue fever (redirect from Dengue symptoms and prevention),The signs and symptoms of Graves' disease generally result from the direct and indirect effects of hyperthyroidism; sometimes they are caused by thyroidal...
Influenza (redirect from Symptoms of influenza),"kissing bugs. The symptoms change over the course of the infection. In the early stage, symptoms are typically either not present or mild, and may include fever..."
Cellulitis (category Equine injury and lameness),Dengue fever is a mosquito-borne tropical disease caused by the dengue virus. Symptoms typically begin three to fourteen days after infection. These may...
Fatal insomnia (category Rare diseases),"known as ""the flu"", is an infectious disease caused by influenza viruses. Symptoms range from mild to severe and often include fever, runny nose, sore..."
Graves' disease,layers of the skin. It specifically affects the dermis and subcutaneous fat. Signs and symptoms include an area of redness which increases in size over...
Restless legs syndrome (redirect from Ekbom Disease),an extremely rare neurodegenerative prion disease that results in trouble sleeping as its hallmark symptom. The majority of cases are familial (fatal...
Creutzfeldt–Jakob disease,"and symptoms of hyperthyroidism may include irritability, muscle weakness, sleeping problems, a fast heartbeat, poor tolerance of heat, diarrhea and unintentional..."
Dysautonomia (redirect from Dysautonomia (does not have to be familial) (Autonomic Nervous System Diseases)),"to walk and therefore relieve the symptoms while they are moving. Unfortunately, the symptoms usually return immediately after the moving and walking..."
Genital herpes (category Sexually transmitted diseases and infections),"brain disorder. Early symptoms include memory problems, behavioral changes, poor coordination, and visual disturbances. Later symptoms include dementia, involuntary..."
Dementia (redirect from Behavioral and psychological symptoms of dementia),underlying disease processes that may have led to the development of symptoms or autonomic neuropathy. Symptomatic treatment is available for many symptoms associated...
Common cold (redirect from Cold (disease)),"genitals. Most people either have no or mild symptoms and thus do not know they are infected. When symptoms do occur, they typically include small blisters..."
Extrapyramidal symptoms,"The signs and symptoms of dementia are termed as the neuropsychiatric symptoms, also known as the behavioral and psychological symptoms of dementia. Behavioral..."
Neglected tropical diseases,"infectious disease of the upper respiratory tract that primarily affects the respiratory mucosa of the nose, throat, sinuses, and larynx. Signs and symptoms may..."
Signs and symptoms of HIV/AIDS,Extrapyramidal symptoms (EPS) are symptoms that are archetypically associated with the extrapyramidal system of the brain's cerebral cortex. When such symptoms are...
Multiple sclerosis (category Epstein–Barr virus–associated diseases),"protozoa, and parasitic worms (helminths). These diseases are contrasted with the ""big three"" infectious diseases (HIV/AIDS, tuberculosis, and malaria)..."
Prodrome (redirect from Prodromal symptoms),"having one of the more common infectious diseases with the same symptoms. As a consequence, these primary symptoms are not used to diagnose HIV infection..."
Coeliac disease,"resulting in a range of signs and symptoms, including physical, mental, and sometimes psychiatric problems. Specific symptoms can include double vision,..."
Neuroborreliosis (redirect from Neurologic lyme disease),sign or symptom (or set of signs and symptoms) that often indicates the onset of a disease before more diagnostically specific signs and symptoms develop...
Gastroesophageal reflux disease,"absent gastrointestinal symptoms, a wide number of symptoms involving any part of the body, or no obvious symptoms. Coeliac disease was first described in..."
Hashimoto's thyroiditis (redirect from Hashimoto's disease),"migrans and flu-like symptoms. Neuroborreliosis is often preceded by the typical symptoms of Lyme disease, which include erythema migrans and flu-like..."
Fungal infection (redirect from Fungal disease),Gastroesophageal reflux disease (GERD) or gastro-oesophageal reflux disease (GORD) is one of the upper gastrointestinal chronic diseases in which stomach content...
Neurosyphilis (category Sexually transmitted diseases and infections),"Hashimoto's disease often have family members who have thyroid or other autoimmune diseases, and sometimes have other autoimmune diseases themselves...."
Pulmonary fibrosis (redirect from Fibrotic lung disease),"systemic disease. Candida albicans can live in people without producing symptoms, and is able to cause both mild candidiasis in healthy people and severe..."
Ulcerative colitis (category Autoimmune diseases),showed signs of neurosyphilis and 40% had died from other causes. The signs and symptoms of neurosyphilis vary with the disease stage of syphilis. The stages...
Irritable bowel syndrome (redirect from Irritable Bowel Disease),"of other diseases. Most of these are classified as interstitial lung diseases. Examples include autoimmune disorders, viral infections and bacterial..."
Chronic fatigue syndrome (redirect from Children and ME),"diet or lactose-free diet, may improve symptoms. Several medications are used to treat symptoms and bring about and maintain remission, including aminosalicylates..."
Urbach–Wiethe disease,"group of symptoms that commonly include abdominal pain, abdominal bloating and changes in the consistency of bowel movements. These symptoms may occur..."
Buteyko method,condition. The root cause(s) of the disease are unknown and the mechanisms are not fully understood. Distinguishing core symptoms are lengthy exacerbations or...
Polio (redirect from Heine-Medin disease),"neurological symptoms, such as autism. Urbach–Wiethe disease is characterized by both neurological and dermatological symptoms. Although symptoms can vary..."
Infection (redirect from Infectious diseases),developing and spiraling into an asthma attack. Advocates of the Buteyko method claim that it can treat a wide range of other diseases and symptoms (numbering...
Wernicke encephalopathy (redirect from Wernicke's Disease),"severe symptoms develop such as headache, neck stiffness, and paresthesia. These symptoms usually pass within one or two weeks. A less common symptom is permanent..."
Asthma (redirect from Signs and symptoms of asthma),"infectious diseases Tropical diseases include Chagas disease, dengue fever, lymphatic filariasis, leishmaniasis, onchocerciasis, schistosomiasis and trypanosomiasis..."
Tick-borne disease,"caused by a variety of diseases. It is treated with thiamine supplementation, which can lead to improvement of the symptoms and often complete resolution..."
Indigestion (category Digestive disease symptoms),"inflammatory disease of the airways of the lungs. It is characterized by variable and recurring symptoms, reversible airflow obstruction, and easily triggered..."
Frontotemporal dementia (redirect from Pick's disease),"in and certain areas of Canada and the western United States Symptoms: Relapsing fever typically presents as recurring high fevers, flu-like symptoms, headaches..."
Non-celiac gluten sensitivity (section Signs and symptoms),than 70% of people have no obvious organic cause for their symptoms after evaluation. Symptoms may arise from a complex interaction of increased visceral...
Spinal stenosis (redirect from Spinal Stenosis information and treatments),neurodegenerative diseases including FTD. FTD is traditionally difficult to diagnose owing to the diverse nature of the associated symptoms. Signs and symptoms are...
Bayesian network (section Inference and learning),"they explain only certain gastrointestinal symptoms, such as bloating, but not the extra-digestive symptoms that people with NCGS may develop, such as..."
Cat-scratch disease,"cord or nerve roots. Symptoms may include pain, numbness, or weakness in the arms or legs. Symptoms are typically gradual in onset and improve with leaning..."
List of diseases spread by invertebrates,"relationships between diseases and symptoms. Given symptoms, the network can be used to compute the probabilities of the presence of various diseases. Efficient..."
Somatic symptom disorder,Cat-scratch disease (CSD) or felinosis is an infectious disease that most often results from a scratch or bite of a cat. Symptoms typically include a...
Legionnaires' disease,humans. This is a list of diseases spread by invertebrates. Arbovirus List of cutaneous conditions List of insect-borne diseases List of parasites (human)...
Gerstmann–Sträussler–Scheinker syndrome (redirect from Gertsmann-Sträussler-Scheinker Disease),corresponds to the way an individual views and reacts to symptoms as rather than the symptoms themselves. Somatic symptom disorder may develop in those who suffer...
Chronic obstructive pulmonary disease,"diarrhea and vomiting. Up to half of those with Legionnaires' disease have gastrointestinal symptoms, and almost half have neurological symptoms, including..."
Peripheral neuropathy (redirect from Peripheral nervous system diseases),"progresses, symptoms of ataxia become more pronounced. Loss of memory can be the first symptom of GSS. Extrapyramidal and pyramidal symptoms and signs may..."
Minamata disease,pulmonary disease (COPD) is a type of progressive lung disease characterized by long-term respiratory symptoms and airflow limitation. The main symptoms of COPD...
Adenovirus infection (section Signs and symptoms),"progress) or chronic (symptoms begin subtly and progress slowly), and may be reversible or permanent. Common causes include systemic diseases (such as diabetes..."
"Female hysteria (section Middle Ages, Renaissance, and the early modern period)","Minamata disease is a neurological disease caused by severe mercury poisoning. Signs and symptoms include ataxia, numbness in the hands and feet, general..."
Strongyloidiasis (category Tropical diseases),"gastroenteritis with vomiting, diarrhoea and abdominal pain, with or without respiratory symptoms. However, some people have no symptoms. Adenovirus infection in humans..."
Inflammatory bowel disease,"hysteria was considered both common and chronic among women. Even though it was categorized as a disease, hysteria's symptoms were synonymous with normal functioning..."
Peptic ulcer disease,"number of symptoms in people, principally skin symptoms, abdominal pain, diarrhea and weight loss, but also many other specific and vague symptoms in disseminated..."
Menopause (redirect from Menopausal symptoms),"affects the colon and the rectum. In spite of Crohn's and UC being very different diseases, both may present with any of the following symptoms: abdominal pain..."
Coronary artery disease,"dull ache. Other symptoms include belching, vomiting, weight loss, or poor appetite. About a third of older people have no symptoms. Complications may..."
Psychogenic disease,and requires an appropriate investigation to rule out the possibility of malignant diseases. Urogenital symptoms that may appear during menopause and...
Functional neurologic disorder (redirect from Functional Neurological Symptom Disorder),"causes severe symptoms, while others experience no symptoms at all. Symptoms in women can differ from those in men, and the most common symptom reported by..."
Mitochondrial disease,psychogenic disease is a disease in which mental stressors cause physical symptoms of different diseases. The manifestation of physical symptoms without biologically...
Diseases Database,"neurological symptoms such as weakness, movement disorders, sensory symptoms and blackouts. As a functional disorder there is by definition no disease process..."
Leptospirosis (redirect from Weil's disease),function. A subclass of these diseases that have neuromuscular symptoms are known as mitochondrial myopathies. Mitochondrial disease can manifest in many different...
Trichomoniasis (category Protozoal diseases),"The Diseases Database is based on a collection of about 8,500 concepts, called ""items"", related to human medicine including diseases, drugs, symptoms, physical..."
Foodborne illness (redirect from Food-borne diseases),"symptomatic cases. Symptoms of the first phase (acute or leptospiremic phase) last five to seven days. In the second phase (immune phase), the symptoms resolve as..."
Hypoglycemia (section Signs and symptoms),"infectious disease caused by the parasite Trichomonas vaginalis. About 70% of affected people do not have symptoms when infected. When symptoms occur, they..."
Charcot–Marie–Tooth disease,"Infectious Diseases. 13: 446. doi:10.1186/1471-2334-13-446. PMC 3849296. PMID 24066865. ""Food-Related Diseases"". US Centers for Disease Control and Prevention..."
Pilonidal disease,"blood glucose below 70 mg/dL (3.9 mmol/L), symptoms associated with hypoglycemia, and resolution of symptoms when blood sugar returns to normal. Hypoglycemia..."
Symptomatic treatment,dystrophy. Symptoms of CMT usually begin in early childhood or early adulthood but can begin later. Some people do not experience symptoms until their...
Kidney failure (redirect from End stage renal disease),Pilonidal disease is a type of skin infection which typically occurs as a cyst between the cheeks of the buttocks and often at the upper end. Symptoms may include...
Botulism (redirect from Qapqal disease),"consequences and sequelae of these signs and symptoms of the disease. In many diseases, even in those whose etiologies are known (e.g., most viral diseases, such..."
List of dog diseases,of sufficient degree to cause symptoms). Kidney failure accompanied by noticeable symptoms is termed uraemia. Symptoms of kidney failure include the following:...
Porphyria (redirect from The Vampire Disease),"Clinicians and Laboratory Technicians. Centers for Disease Control and Prevention. National Center for Infectious Diseases, Division of Bacterial and Mycotic..."
Spondylosis (section Signs and symptoms),This list of dog diseases is a selection of diseases and other conditions found in the dog. Some of these diseases are unique to dogs or closely related...
Polycystic ovary syndrome (redirect from Polycystic ovarian disease),"system are also known as acute porphyria, as symptoms are rapid in onset and short in duration. Symptoms of an attack include abdominal pain, chest pain..."
Prostate (redirect from Prostate symptoms),"radiculopathy-related symptoms. Narrowing of the lumbar spinal canal causes a clinical condition known as neurogenic claudication, characterised by symptoms such as..."
Incubation period (redirect from Infectious disease incubation period),"and after diagnosis. ""Lean"" women still face the various symptoms of PCOS with the added challenges of having their symptoms properly addressed and recognized..."
Glycogen storage disease,"person does not have symptoms; when they do occur, symptoms may include urinary frequency, urgency, hesitation and other symptoms associated with BPH...."
West Nile fever (redirect from West Nile disease),"organism, a chemical, or radiation, and when symptoms and signs are first apparent. In a typical infectious disease, the incubation period signifies the..."
Schizophrenia (redirect from Schizophrenia: Symptoms),"(dynamic) symptoms, such as muscle fatigue, rather than fixed weakness (static) symptoms. Differential diagnoses for glycogen storage diseases that involve..."
Fusarium wilt (category Fungal plant pathogens and diseases),"in the joints and flu-like symptoms. There may be gastrointestinal symptoms including nausea, vomiting, loss of appetite, and diarrhea. Fewer than one-third..."
Cirrhosis (redirect from End-stage liver disease),"Major symptoms include hallucinations (typically hearing voices), delusions, and disorganized thinking. Other symptoms include social withdrawal, and flat..."
Long COVID (section Signs and symptoms),"wilt is a common vascular wilt fungal disease, exhibiting symptoms similar to Verticillium wilt. This disease has been investigated extensively since..."
Lafora disease,"yellowish color of a diseased liver. Cirrhosis can take quite a long time to develop, and symptoms may be slow to emerge. Some early symptoms include tiredness..."
Malignancy (redirect from Malignant disease),"health. Symptoms often get worse after mental or physical effort, a process called post-exertional malaise. There is a large overlap in symptoms with ME/CFS..."
Mixed connective tissue disease,and it often leads to death within ten years of symptoms appearing. Late onset symptoms of this disease can begin at any age depending on the genes affected...
Hypochondriasis (category Somatic symptom disorders),"other hand, symptoms are felt internally by the individual such as fatigue or changes in appetite. A general list of common signs and symptoms includes pain..."
Chronic inflammatory demyelinating polyneuropathy (redirect from Combined central and peripheral demyelination),"together with a mix of symptoms of systemic lupus erythematosus (SLE), scleroderma, and polymyositis. The idea behind the ""mixed"" disease is that this specific..."
Dehydration (redirect from Symptoms of dehydration),"alarmed about any physical or psychological symptoms they detect, no matter how minor the symptom may be, and are convinced that they have, or are about..."
Breast disease,related to Guillain–Barré syndrome and it is considered the chronic counterpart of that acute disease. Its symptoms are also similar to progressive inflammatory...
Leaf spot (redirect from Leaf spot disease),"dehydration), confusion, unexplained tiredness, purple fingernails, and seizures. The symptoms of dehydration become increasingly severe with greater total body..."
B symptoms,"diseases make up a number of conditions. The most common symptoms are a breast mass, breast pain, and nipple discharge. A majority of breast diseases..."
Gastritis (section Signs and symptoms),"edu/plant-diseases/leaf-spot-diseases-trees-and-shrubs#leaf-rusts-1156511 Isleib, J. & Michigan State University Extension. (2012). Signs and symptoms of plant..."
Whipple's disease,"B symptoms are a set of symptoms, namely fever, night sweats, and unintentional weight loss, that can be associated with both Hodgkin lymphoma and non-Hodgkin..."
Osgood–Schlatter disease,"be no symptoms but, when symptoms are present, the most common is upper abdominal pain (see dyspepsia). Other possible symptoms include nausea and vomiting..."
Elephantiasis (category Symptoms and signs: Skin and subcutaneous tissue),"standard signs and symptoms. Whipple's disease is significantly more common in men, with 87% of patients diagnosed being male. When recognized and treated,..."
Interstitial lung disease,ibuprofen. Typically symptoms resolve as the growth plate closes. Physiotherapy is generally recommended once the initial symptoms have improved to prevent...
Polymyalgia rheumatica (section Signs and symptoms),"is often used in reference to (symptoms caused by) parasitic worm infections, but may refer to a variety of diseases that swell parts of the subject's..."
Medical diagnosis (section Society and culture),someone with this disease is between three and five years. The term ILD is used to distinguish these diseases from obstructive airways diseases. There are specific...
Hemorrhoid (redirect from Hemorrhoid disease),"muscles"". A wide range of symptoms can indicate if a person has polymyalgia rheumatica. The classic symptoms include: Pain and stiffness (moderate to severe)..."
Blastomycosis (redirect from Gilchrist's disease),"Dx, or Ds) is the process of determining which disease or condition explains a person's symptoms and signs. It is most often referred to as diagnosis..."
Thyroid disease,They become a disease when swollen or inflamed; the unqualified term hemorrhoid is often used to refer to the disease. The signs and symptoms of hemorrhoids...
Bovine spongiform encephalopathy (redirect from Mad cow disease),"plaques with a roundish bumpy edge and central depression. Only about half of people with the disease have symptoms, which can include fever, cough, night..."
Fish disease and parasites,"and enlargement of the thyroid. Structural abnormalities may not produce symptoms, however some people may have hyperthyroid or hypothyroid symptoms related..."
Hypertension (redirect from Signs and symptoms of hypertension),"cow disease, is an incurable and invariably fatal neurodegenerative disease of cattle. Symptoms include abnormal behavior, trouble walking, and weight..."
Cold agglutinin disease,"Like humans and other animals, fish suffer from diseases and parasites. Fish defences against disease are specific and non-specific. Non-specific defences..."
Remission (medicine) (category Disease stubs),"cause symptoms. It is, however, a major risk factor for stroke, coronary artery disease, heart failure, atrial fibrillation, peripheral arterial disease, vision..."
Stomach rumble (category Symptoms and signs: Digestive system and abdomen),"cells). However, the number of symptoms and severity of symptoms may depend on how severe the anemia is. Signs and symptoms of hemolytic anemia may include:..."
Conversion disorder (category Somatic symptom disorders),Remission is either the reduction or disappearance of the signs and symptoms of a disease. The term may also be used to refer to the period during which...
Ankylosing spondylitis (redirect from Marie-Strümpell disease),"digestive disease, especially when accompanied by abdominal bloating, abdominal pain, diarrhea or constipation. Some examples of diseases that may be..."
Chronic traumatic encephalopathy (redirect from Signs and symptoms of chronic traumatic encephalopathy),"psychological distress. Usually the physical symptoms of the syndrome affect the senses or movement. Common symptoms include blindness, partial or total paralysis..."
Stiff-person syndrome (redirect from Progressive encephalomyelitis with rigidity and myoclonus),autoinflammatory. Diagnosis is typically based on the symptoms with support from medical imaging and blood tests. AS is a type of seronegative spondyloarthropathy...
Whooping cough (category Bacterial diseases),"neurodegenerative disease linked to repeated trauma to the head. The encephalopathy symptoms can include behavioral problems, mood problems, and problems with..."
List of medical symptoms,"Chronic pain, impaired mobility, and lumbar hyperlordosis are common symptoms. SPS occurs in about one in a million people and is most commonly found in middle-aged..."
Psychoorganic syndrome (section Symptoms),"vaccine-preventable bacterial disease. Initial symptoms are usually similar to those of the common cold with a runny nose, fever, and mild cough, but these are..."
Tuberous sclerosis (redirect from Bourneville-Pringle disease),Medical symptoms are complaints which indicate disease. They are noticed by the patient and cause people to go and see a health practitioner. It is rare...
Behçet's disease,"changes, loud sounds, neurological symptoms. The common reported psychological symptoms include: loss of memory and concentration emotional lability Clinical..."
Tuberculosis (redirect from Consumption (disease)),"combination of symptoms may include seizures, intellectual disability, developmental delay, behavioral problems, skin abnormalities, lung disease, and kidney..."
Parkinsonism (redirect from Parkinson's disease mimics),Behçet's disease (BD) is a type of inflammatory disorder which affects multiple parts of the body. The most common symptoms include painful sores on the...
Pelvic inflammatory disease,"infections show no symptoms, in which case it is known as latent tuberculosis. Around 10% of latent infections progress to active disease which, if left untreated..."
Fibromyalgia (section Signs and symptoms),"metabolic diseases, and neurological conditions other than PD. Parkinsonism is a clinical syndrome characterized by the four motor symptoms found in Parkinson's..."
Bronchitis (category Chronic lower respiratory diseases),"associated with this problem after the first month. Symptoms in PID range from none to severe. If there are symptoms, fever, cervical motion tenderness, lower abdominal..."
Scombroid food poisoning (category Fish diseases),"waking unrefreshed, cognitive symptoms, lower abdominal pain or cramps, and depression. Other symptoms include insomnia and a general hypersensitivity...."
Sweating sickness (category Disease outbreaks in England),"several weeks afterwards, with the total duration of symptoms usually around three weeks. Symptoms may last for up to six weeks. In more than 90% of cases..."
Sjögren syndrome (redirect from Sjogren's disease),"spoiled fish. Symptoms may include flushed skin, sweating, headache, itchiness, blurred vision, abdominal cramps, and diarrhea. Onset of symptoms is typically..."
List of eponymous diseases,noted symptoms overlap with hantavirus pulmonary syndrome and have proposed an unknown hantavirus as the cause. Hantavirus species are zoonotic diseases carried...
Syndrome (redirect from Withrawal symptoms),"life expectancy is unchanged. Primary symptoms are dryness (dry mouth and dry eyes), pain and fatigue. Other symptoms can include dry skin, vaginal dryness..."
Sinusitis (section Signs and symptoms),"investigate and definitively pinpoint the underlying causes of many diseases, assigning an eponym afforded physicians a concise label for a symptom cluster..."
Metabolic disorder (redirect from Metabolic diseases),is a set of medical signs and symptoms which are correlated with each other and often associated with a particular disease or disorder. The word derives...
Polyneuropathy in dogs and cats,"the sinuses resulting in symptoms that may include thick nasal mucus, a plugged nose, and facial pain. Other signs and symptoms may include fever, headaches..."
Common variable immunodeficiency (category Genetic diseases and disorders),"are four categories of symptoms: acute symptoms, late-onset acute symptoms, progressive general symptoms and permanent symptoms. Inherited metabolic disorders..."
Cardiomyopathy (section Signs and symptoms),"motor neuron disease. Symptoms include decreased or absent reflexes and muscle tone, weakness, or paralysis. It often occurs in the rear legs and is bilateral..."
Peripheral artery disease,"increased risk for autoimmune disease and lymphoma, as well as gastrointestinal disease. CVID is a lifelong disease. The symptoms of CVID vary between those..."
Oak wilt (category Fungal tree pathogens and diseases),"of diseases that affect the heart muscle. Early on there may be few or no symptoms. As the disease worsens, shortness of breath, feeling tired, and swelling..."
Hyperthyroidism (category Cat diseases),"patients affected by PAD either do not have symptoms or have atypical symptoms. The most common presenting symptom is intermittent claudication (IC), which..."
"Cerebellar ataxia, neuropathy, vestibular areflexia syndrome (section Signs and symptoms)","water transport and causing disease symptoms. Symptoms generally consist of leaf discoloration, wilt, defoliation, and death. The disease is dispersed by..."
Schistosomiasis (redirect from Schistosomiasis (skin symptoms)),"Hyperthyroidism may be asymptomatic or present with significant symptoms. Some of the symptoms of hyperthyroidism include nervousness, irritability, increased..."
Chronic liver disease,Neuropathy and Vestibular Areflexia Syndrome (CANVAS) is an autosomal recessive late-onset heredodegenerative multisystem neurological disease. The symptoms include...
Parkinson's disease dementia,"and Katayama fever, is a disease caused by parasitic flatworms called schistosomes. The urinary tract or the intestines may be infected. Symptoms include..."
Hunter syndrome (redirect from Hunter's disease),(Wilson's disease) Increased pigmentation of the skin (haemochromatosis) Signs of right heart failure Note that other diseases can involve the liver and cause...
Atherosclerosis (redirect from Homogenized Milk and Atherosclerosis),"Parkinson's disease starts as a movement disorder, but progresses in most cases to include dementia and changes in mood and behavior. The signs, symptoms and cognitive..."
Fifth disease,"milder forms of the disease. The symptoms of Hunter syndrome (MPS II) are generally not apparent at birth. Often, the first symptoms may include abdominal..."
Giant cell arteritis (redirect from Horton's disease),"usually no symptoms, but if they develop, symptoms generally begin around middle age. When severe, it can result in coronary artery disease, stroke, peripheral..."
Nicotine withdrawal (section Signs and symptoms),"present with physical symptoms. The name ""fifth disease"" comes from its place on the standard list of rash-causing childhood diseases, which also includes..."
Mosquito-borne disease,"inflammatory autoimmune disease of large blood vessels. Symptoms may include headache, pain over the temples, flu-like symptoms, double vision, and difficulty opening..."
Sugarcane grassy shoot disease,withdrawal is a group of symptoms that occur in the first few weeks after stopping or decreasing use of nicotine. Symptoms include intense cravings for...
Somatization disorder (category Somatic symptom disorders),"Mosquito-borne diseases or mosquito-borne illnesses are diseases caused by bacteria, viruses or parasites transmitted by mosquitoes. Nearly 700 million..."
Ebola (redirect from Ebola virus disease),"plant diseases and are known to cause more than 600 diseases in several hundred plant species, including gramineous weeds and cereals. The symptoms shown..."
Syphilis (redirect from Syphilis disease),somatic symptoms are more severe than generally expected. Complaints are not feigned as in malingering or factitious disorder. The symptoms do not all...
Lifestyle disease,"shock from fluid loss, and typically occurs between six and 16 days after the first symptoms appear. Early treatment of symptoms increases the survival..."
