Diseases,Symptoms,Disease_Present
Creutzfeldt–Jakob disease,set(),1
Dysautonomia (redirect from Dysautonomia (does not have to be familial) (Autonomic Nervous System Diseases)),set(),1
Genital herpes (category Sexually transmitted diseases and infections),set(),1
Dementia (redirect from Behavioral and psychological symptoms of dementia),set(),1
Common cold (redirect from Cold (disease)),set(),1
Extrapyramidal symptoms,set(),1
Neglected tropical diseases,set(),1
Signs and symptoms of HIV/AIDS,set(),1
Multiple sclerosis (category Epstein–Barr virus–associated diseases),set(),1
Prodrome (redirect from Prodromal symptoms),set(),1
Coeliac disease,set(),1
Neuroborreliosis (redirect from Neurologic lyme disease),set(),1
Gastroesophageal reflux disease,set(),1
Hashimoto's thyroiditis (redirect from Hashimoto's disease),set(),1
Fungal infection (redirect from Fungal disease),set(),1
Neurosyphilis (category Sexually transmitted diseases and infections),set(),1
Pulmonary fibrosis (redirect from Fibrotic lung disease),set(),1
Ulcerative colitis (category Autoimmune diseases),set(),1
Irritable bowel syndrome (redirect from Irritable Bowel Disease),set(),1
Chronic fatigue syndrome (redirect from Children and ME),set(),1
Urbach–Wiethe disease,set(),1
Buteyko method,set(),1
Polio (redirect from Heine-Medin disease),set(),1
Infection (redirect from Infectious diseases),set(),1
Wernicke encephalopathy (redirect from Wernicke's Disease),set(),1
Asthma (redirect from Signs and symptoms of asthma),set(),1
Tick-borne disease,set(),1
Indigestion (category Digestive disease symptoms),set(),1
Frontotemporal dementia (redirect from Pick's disease),set(),1
Non-celiac gluten sensitivity (section Signs and symptoms),set(),1
Spinal stenosis (redirect from Spinal Stenosis information and treatments),set(),1
Bayesian network (section Inference and learning),set(),1
Cat-scratch disease,set(),1
List of diseases spread by invertebrates,set(),1
Somatic symptom disorder,set(),1
Legionnaires' disease,set(),1
Gerstmann–Sträussler–Scheinker syndrome (redirect from Gertsmann-Sträussler-Scheinker Disease),set(),1
Chronic obstructive pulmonary disease,set(),1
Peripheral neuropathy (redirect from Peripheral nervous system diseases),set(),1
Minamata disease,set(),1
Adenovirus infection (section Signs and symptoms),set(),1
"Female hysteria (section Middle Ages, Renaissance, and the early modern period)",set(),1
Strongyloidiasis (category Tropical diseases),set(),1
Inflammatory bowel disease,set(),1
Peptic ulcer disease,set(),1
Menopause (redirect from Menopausal symptoms),set(),1
Coronary artery disease,set(),1
Psychogenic disease,set(),1
Functional neurologic disorder (redirect from Functional Neurological Symptom Disorder),set(),1
Mitochondrial disease,set(),1
Diseases Database,set(),1
Leptospirosis (redirect from Weil's disease),set(),1
Trichomoniasis (category Protozoal diseases),set(),1
Foodborne illness (redirect from Food-borne diseases),set(),1
Hypoglycemia (section Signs and symptoms),set(),1
Charcot–Marie–Tooth disease,set(),1
Pilonidal disease,set(),1
Symptomatic treatment,set(),1
Kidney failure (redirect from End stage renal disease),set(),1
Botulism (redirect from Qapqal disease),set(),1
List of dog diseases,set(),1
Porphyria (redirect from The Vampire Disease),set(),1
Spondylosis (section Signs and symptoms),set(),1
Polycystic ovary syndrome (redirect from Polycystic ovarian disease),set(),1
Prostate (redirect from Prostate symptoms),set(),1
Incubation period (redirect from Infectious disease incubation period),set(),1
Glycogen storage disease,set(),1
West Nile fever (redirect from West Nile disease),set(),1
Schizophrenia (redirect from Schizophrenia: Symptoms),set(),1
Fusarium wilt (category Fungal plant pathogens and diseases),set(),1
Cirrhosis (redirect from End-stage liver disease),set(),1
Long COVID (section Signs and symptoms),set(),1
Lafora disease,set(),1
Malignancy (redirect from Malignant disease),set(),1
Mixed connective tissue disease,set(),1
Hypochondriasis (category Somatic symptom disorders),set(),1
Chronic inflammatory demyelinating polyneuropathy (redirect from Combined central and peripheral demyelination),set(),1
Dehydration (redirect from Symptoms of dehydration),set(),1
Breast disease,set(),1
Leaf spot (redirect from Leaf spot disease),set(),1
B symptoms,set(),1
Gastritis (section Signs and symptoms),set(),1
Whipple's disease,set(),1
Osgood–Schlatter disease,set(),1
Elephantiasis (category Symptoms and signs: Skin and subcutaneous tissue),set(),1
Interstitial lung disease,set(),1
Polymyalgia rheumatica (section Signs and symptoms),set(),1
Medical diagnosis (section Society and culture),set(),1
Hemorrhoid (redirect from Hemorrhoid disease),set(),1
Blastomycosis (redirect from Gilchrist's disease),set(),1
Thyroid disease,set(),1
Bovine spongiform encephalopathy (redirect from Mad cow disease),set(),1
Fish disease and parasites,set(),1
Hypertension (redirect from Signs and symptoms of hypertension),set(),1
Cold agglutinin disease,set(),1
Remission (medicine) (category Disease stubs),set(),1
Stomach rumble (category Symptoms and signs: Digestive system and abdomen),set(),1
Conversion disorder (category Somatic symptom disorders),set(),1
Ankylosing spondylitis (redirect from Marie-Strümpell disease),set(),1
Chronic traumatic encephalopathy (redirect from Signs and symptoms of chronic traumatic encephalopathy),set(),1
Stiff-person syndrome (redirect from Progressive encephalomyelitis with rigidity and myoclonus),set(),1
Whooping cough (category Bacterial diseases),set(),1
List of medical symptoms,set(),1
Psychoorganic syndrome (section Symptoms),set(),1
Tuberous sclerosis (redirect from Bourneville-Pringle disease),set(),1
Behçet's disease,set(),1
Tuberculosis (redirect from Consumption (disease)),set(),1
Parkinsonism (redirect from Parkinson's disease mimics),set(),1
Pelvic inflammatory disease,set(),1
Fibromyalgia (section Signs and symptoms),set(),1
Bronchitis (category Chronic lower respiratory diseases),set(),1
Scombroid food poisoning (category Fish diseases),set(),1
Sweating sickness (category Disease outbreaks in England),set(),1
Sjögren syndrome (redirect from Sjogren's disease),set(),1
List of eponymous diseases,set(),1
Syndrome (redirect from Withrawal symptoms),set(),1
Sinusitis (section Signs and symptoms),set(),1
Metabolic disorder (redirect from Metabolic diseases),set(),1
Polyneuropathy in dogs and cats,set(),1
Common variable immunodeficiency (category Genetic diseases and disorders),set(),1
Cardiomyopathy (section Signs and symptoms),set(),1
Peripheral artery disease,set(),1
Oak wilt (category Fungal tree pathogens and diseases),set(),1
Hyperthyroidism (category Cat diseases),set(),1
"Cerebellar ataxia, neuropathy, vestibular areflexia syndrome (section Signs and symptoms)",set(),1
Schistosomiasis (redirect from Schistosomiasis (skin symptoms)),set(),1
Chronic liver disease,set(),1
Parkinson's disease dementia,set(),1
Hunter syndrome (redirect from Hunter's disease),set(),1
Atherosclerosis (redirect from Homogenized Milk and Atherosclerosis),set(),1
Fifth disease,set(),1
Giant cell arteritis (redirect from Horton's disease),set(),1
Nicotine withdrawal (section Signs and symptoms),set(),1
Mosquito-borne disease,set(),1
Sugarcane grassy shoot disease,set(),1
Somatization disorder (category Somatic symptom disorders),set(),1
Ebola (redirect from Ebola virus disease),set(),1
Syphilis (redirect from Syphilis disease),set(),1
Lifestyle disease,set(),1
Lupus erythematosus (redirect from Cazenave's disease),set(),1
Depression (mood) (redirect from Symptoms of depression),set(),1
Urinary tract infection (redirect from Honeymoon disease),set(),1
Pneumonia (category Coronavirus-associated diseases),set(),1
Bronchiectasis (category Chronic lower respiratory diseases),set(),1
Streptococcal pharyngitis (section Signs and symptoms),set(),1
Medical students' disease,set(),1
Chronic kidney disease,set(),1
HIV/AIDS (redirect from Aids Symptoms),set(),1
Hirschsprung's disease,set(),1
Hypothyroidism (category Endocrine diseases),set(),1
Reactive arthritis (redirect from Reiter's disease),set(),1
Cardiovascular disease in women,set(),1
Lymphatic disease,set(),1
Diarrhea (redirect from Diarrheal diseases),set(),1
Encephalitis lethargica (redirect from Economo's disease),set(),1
Sanfilippo syndrome (redirect from San filippo disease),set(),1
Typhus (redirect from Typhus (disease)),set(),1
Chlamydia (category Sexually transmitted diseases and infections),set(),1
Nipah virus infection (category Chiroptera-borne diseases),set(),1
Congenital syphilis (section Signs and symptoms),set(),1
Genetic disorder (redirect from Hereditary diseases),set(),1
Rheumatoid arthritis (category Connective tissue diseases),set(),1
Raynaud syndrome (redirect from Raynaud's disease and Raynaud's phenomenon),set(),1
Scurvy (redirect from Wort and rob),set(),1
Lewy body dementias (redirect from Sociological and cultural aspects of Lewy body dementia),set(),1
Asymptomatic carrier (category Infectious diseases),set(),1
Immune reconstitution inflammatory syndrome (section Signs and symptoms),set(),1
Bornholm disease,set(),1
Vascular disease,set(),1
Gaucher's disease,set(),1
Aspirin-exacerbated respiratory disease,set(),1
Gastroenteritis (category Infectious diseases),set(),1
Autoimmune skin diseases in dogs,set(),1
Pogosta disease,set(),1
Globalization and disease,set(),1
Hypertrophic cardiomyopathy (redirect from Spike and dome pulse),set(),1
Non-Hodgkin lymphoma (redirect from Non-Hodgkin's disease),set(),1
Spinal disease,set(),1
Stroke (redirect from Signs and symptoms of stroke),set(),1
Hereditary spastic paraplegia (redirect from Strumpell-lorrain disease),set(),1
Carpal tunnel syndrome (section Symptoms),set(),1
Bright's disease,set(),1
Dermatomyositis (redirect from Malignant disease with dermatomyositis),set(),1
Dumping syndrome (section Signs and symptoms),set(),1
Pyelonephritis (category Kidney diseases),set(),1
Alice in Wonderland syndrome (category Symptoms and signs of mental disorders),set(),1
Nasal polyp (section Signs and symptoms),set(),1
Constipation (category Digestive disease symptoms),set(),1
Signs and symptoms of pregnancy,set(),1
Argas persicus (section Disease and Symptoms),set(),1
Acute exacerbation of chronic obstructive pulmonary disease,set(),1
Valvular heart disease,set(),1
Gonorrhea (section Signs and symptoms),set(),1
Sporotrichosis (redirect from Rose gardener's disease),set(),1
Amoebiasis (category Intestinal infectious diseases),set(),1
Gallstone (redirect from Gallstone disease),set(),1
Heartburn (category Symptoms and signs: Digestive system and abdomen),set(),1
Rare disease,set(),1
Myalgia (category Symptoms and signs: Nervous and musculoskeletal systems),set(),1
Batten disease,set(),1
African tick bite fever (section Signs and symptoms),set(),1
Aura (symptom),set(),1
Trichinosis (redirect from Trichine disease),set(),1
Vaginitis (redirect from Circinate (Reiter's disease) vulvovaginitis),set(),1
Gastric acid (section Role in disease),set(),1
Milk borne diseases,set(),1
Meningitis (category Wikipedia infectious disease articles ready to translate),set(),1
Gangrene (redirect from Gang green disease),set(),1
Rectal discharge (category Symptoms and signs: Digestive system and abdomen),set(),1
Transverse myelitis (category Autoimmune diseases),set(),1
Attention deficit hyperactivity disorder (redirect from Disturbance of activity and attention),set(),1
Drug withdrawal (redirect from Withdrawal symptoms),set(),1
Black pod disease,set(),1
Upper respiratory tract infection (category Infectious diseases),set(),1
Endotype (redirect from Disease entity),set(),1
Abscess (section Signs and symptoms),set(),1
Hematochezia,set(),1
Thyrotoxic myopathy (category Myoneural junction and neuromuscular diseases),set(),1
Lymphoma (section Signs and symptoms),set(),1
Laryngitis (section Signs and symptoms),set(),1
Management of Parkinson's disease,set(),1
Rash (category Symptoms and signs: Skin and subcutaneous tissue),set(),1
Hurler syndrome (redirect from Hurler's disease),set(),1
Conjunctivitis (section Signs and symptoms),set(),1
Tay–Sachs disease,set(),1
Alexander disease,set(),1
Scleroderma (category Autoimmune diseases),set(),1
Appendicitis (category Diseases of appendix),set(),1
Endocrinology (redirect from Endocrinal diseases),set(),1
Urethritis (redirect from Urogenital symptoms),set(),1
Abdominal distension (category Symptoms and signs: Digestive system and abdomen),set(),1
Corticobasal degeneration (category Rare diseases),set(),1
"Blepharitis (category Disorders of eyelid, lacrimal system and orbit)",set(),1
Encephalitis (category Infectious diseases),set(),1
Arthritis (category Aging-associated diseases),set(),1
Myocarditis (category Chronic rheumatic heart diseases),set(),1
Chronic wasting disease,set(),1
Genital wart (category Papillomavirus-associated diseases),set(),1
Sickle cell disease,set(),1
Lemierre's syndrome (redirect from Lemierre's disease),set(),1
Krabbe disease,set(),1
Progressive supranuclear palsy (redirect from Steele-Richardson-Olszewski disease),set(),1
Gluten-free diet (section Coeliac disease),set(),1
Chikungunya (redirect from Chikungunya viral disease),set(),1
Colitis (category Noninfective enteritis and colitis),set(),1
Rocky Mountain spotted fever (redirect from Blue disease),set(),1
Neurogenic bladder dysfunction (section Signs and symptoms),set(),1
Cushing's disease,set(),1
Postorgasmic illness syndrome (category Autoimmune diseases),set(),1
Dropsy in fish (redirect from Dropsy (fish disease)),set(),1
"Amplified musculoskeletal pain syndrome (category Nerve, nerve root and plexus disorders)",set(),1
Tetanus (redirect from Tetanus disease),set(),1
Neurocysticercosis (category Parasitic diseases associated with beef and pork consumption),set(),1
Myositis,set(),1
Candidiasis (redirect from Thrush (disease)),set(),1
Thrombotic thrombocytopenic purpura (redirect from Moschcowitz disease),set(),1
Latent period (epidemiology) (category Infectious diseases),set(),1
Asperger syndrome (redirect from Aspergers symptoms),set(),1
"Gastroparesis (category Diseases of oesophagus, stomach and duodenum)",set(),1
Pharyngitis (category Infectious diseases),set(),1
Fabry disease,set(),1
Sheehan's syndrome (redirect from Simmond's Disease),set(),1
Hernia (section Signs and symptoms),set(),1
Hiatal hernia (section Signs and symptoms),set(),1
Natural history of disease,set(),1
Posterior reversible encephalopathy syndrome (section Signs and symptoms),set(),1
Verticillium dry bubble (section Host range and symptoms),set(),1
Dercum's disease,set(),1
Bell's palsy (section Signs and symptoms),set(),1
Lactose intolerance (redirect from Lactase persistence vs. lactose intolerance and deficiencies),set(),1
Anorexia (symptom),set(),1
Impetigo (section Signs and symptoms),set(),1
Plague (disease),set(),1
Psychosis (section Signs and symptoms),set(),1
Psoriasis (redirect from Early onset and severe psoriasis),set(),1
Maple syrup urine disease,set(),1
Paresthesia (redirect from Pins and needles),set(),1
Major depressive disorder (redirect from Depression symptoms),set(),1
West Nile virus (section Disease),set(),1
Anticipation (genetics) (section Examples of diseases showing anticipation),set(),1
Paratyphoid fever (category Intestinal infectious diseases),set(),1
Volvulus (category Diseases of intestines),set(),1
Salmeterol (section Pregnancy and lactation),set(),1
Polycystic kidney disease,set(),1
Degenerative disease,set(),1
Anaphylaxis (category Respiratory diseases),set(),1
Amyloidosis (redirect from Abercrombie's disease),set(),1
ICD-11 (redirect from ICD-11 MMS Chapter 1: Certain infectious or parasitic diseases),set(),1
Haemophilia B (redirect from Christmas disease),set(),1
Alternaria solani (category Fungal plant pathogens and diseases),set(),1
Chronic mucocutaneous candidiasis (section Signs and symptoms),set(),1
Atypical pneumonia (section Signs and symptoms),set(),1
Gastroenterology (section Disease classification),set(),1
Endometriosis (section Signs and symptoms),set(),1
CREST syndrome (category Connective tissue diseases),set(),1
Toxic shock syndrome (redirect from Tampon disease),set(),1
Pellagra (category Wikipedia infectious disease articles ready to translate),set(),1
Exacerbation (category Symptoms),set(),1
Blood in stool,set(),1
Nosology (section Extended nosology and general medical conditions),set(),1
Pleurisy (category Symptoms and signs: Respiratory system),set(),1
Schamberg disease,set(),1
Dermatitis herpetiformis (redirect from Duhring disease),set(),1
Benign fasciculation syndrome (section Signs and symptoms),set(),1
International Lyme and Associated Diseases Society,set(),1
Trinucleotide repeat disorder (redirect from Trinucleotide repeat expansion diseases),set(),1
Hepatitis A (category Vaccine-preventable diseases),set(),1
Witch's broom (category Plant pathogens and diseases),set(),1
Gallbladder disease,set(),1
Acromegaly (section Signs and symptoms),set(),1
Dysthymia (section Signs and symptoms),set(),1
Heart failure (redirect from Congestive heart disease),set(),1
Rheumatic fever (redirect from Rheumatic Heart Disease),set(),1
Chest pain (section Signs and symptoms),set(),1
Neurasthenia (section Symptoms),set(),1
Palpitations (category Symptoms and signs: Circulatory system),set(),1
Impacted wisdom teeth (section Signs and symptoms),set(),1
Pogona (section Metabolic bone disease),set(),1
Cryoglobulinemia (category Hepatitis C virus-associated diseases),set(),1
Mumps (category Vaccine-preventable diseases),set(),1
Pancreatic cancer (section Signs and symptoms),set(),1
Gilbert's syndrome (redirect from Gilberts disease),set(),1
Lysosomal storage disease,set(),1
Marburg virus disease,set(),1
"FODMAP (redirect from Fermentable Oligo-, Di-, Monosaccharides And Polyols)",set(),1
Autoimmune urticaria (category Autoimmune diseases),set(),1
De Quervain syndrome (redirect from De Quervain's disease),set(),1
Oculocutaneous albinism type I (section Signs and symptoms),set(),1
Vaginal yeast infection (category Inflammatory diseases of female pelvic organs),set(),1
Idiopathic multicentric Castleman disease,set(),1
Darier's disease,set(),1
Autoinflammatory diseases,set(),1
Myoclonic dystonia (category Extrapyramidal and movement disorders),set(),1
Fatty liver disease,set(),1
Herpes gladiatorum (redirect from Wrestling and herpes),set(),1
International Classification of Diseases,set(),1
Carol Jennings (category Alzheimer's disease activists),set(),1
Small fiber peripheral neuropathy (section Signs and symptoms),set(),1
Pernicious anemia (redirect from Biermer disease),set(),1
Bird fancier's lung (section Signs and symptoms),set(),1
Spinal and bulbar muscular atrophy,set(),1
Inborn errors of metabolism (redirect from Metabolic Diseases),set(),1
Central nervous system viral disease,set(),1
Diabetes (redirect from Symptoms of diabetes),set(),1
Trigger finger (category Disorders of synovium and tendon),set(),1
Brachydactyly (redirect from Brachymesophalangy II and V),set(),1
Thalassemia (category Disorders of globin and globulin proteins),set(),1
Tick infestation (category Tick-borne diseases),set(),1
Influenza-like illness (redirect from Flu like symptoms),set(),1
IgA nephropathy (redirect from Berger's disease),set(),1
Undifferentiated connective tissue disease,set(),1
Chickenpox (category Vaccine-preventable diseases),set(),1
Thiamine deficiency (section Signs and symptoms),set(),1
Organic personality disorder (section Signs and symptoms),set(),1
Infectious diseases (medical specialty),set(),1
Asbestosis (redirect from Asbestos lung disease),set(),1
Somatosensory amplification (category Somatic symptom disorders),set(),1
Allergic rhinitis (section Signs and symptoms),set(),1
Tennis elbow (section Signs and symptoms),set(),1
Lymphatic filariasis (category Wikipedia infectious disease articles ready to translate),set(),1
Hereditary neuropathy with liability to pressure palsy (section Signs and symptoms),set(),1
Jembrana disease,set(),1
Post-concussion syndrome (redirect from Post-concussion symptoms),set(),1
Granulomatosis with polyangiitis (redirect from Wegener's disease),set(),1
Gluten (section Celiac disease),set(),1
Atopic dermatitis (section Signs and symptoms),set(),1
Multiple myeloma (redirect from Kahler's disease),set(),1
Vasculitis (redirect from Gougerot Ruiter disease),set(),1
Anemia (section Signs and symptoms),set(),1
Anxiety disorder (section Perception and Discrimination),set(),1
Mpox (category Animal viral diseases),set(),1
Ataxia–telangiectasia (category DNA replication and repair-deficiency disorders),set(),1
Niemann–Pick disease,set(),1
Altitude sickness (redirect from Altitude Diseases),set(),1
Drug rash with eosinophilia and systemic symptoms,set(),1
Leprosy (redirect from Societal and cultural aspects of leprosy),set(),1
Enteritis (category Intestinal infectious diseases),set(),1
Major depressive episode (redirect from Severe depressive episode without psychotic symptoms),set(),1
Ascariasis (category Tropical diseases),set(),1
Foot-and-mouth disease,set(),1
Bipolar disorder (redirect from Bipolar affective disease),set(),1
Ziehl–Neelsen stain,set(),1
Shingles (category Viral diseases),set(),1
Interstitial cystitis (section Signs and symptoms),set(),1
Neuro-Behçet's disease,set(),1
Protein toxicity (category Symptoms and signs),set(),1
Reactive airway disease,set(),1
Transmissible spongiform encephalopathy,set(),1
Liver disease,set(),1
Pneumothorax (section Signs and symptoms),set(),1
Chronic condition (redirect from Chronic diseases),set(),1
Medical encyclopedia,set(),1
Fever (category Symptoms and signs),set(),1
Paraneoplastic syndrome (redirect from Paraneoplastic disease),set(),1
Multiple sclerosis signs and symptoms,set(),1
Cardiovascular disease,set(),1
List of pests and diseases of roses,set(),1
Machado–Joseph disease,set(),1
Morvan's syndrome (redirect from Morvan's disease),set(),1
Disabilities affecting intellectual abilities (section Neurodegenerative diseases),set(),1
Babesiosis (redirect from Red water disease),set(),1
Granulomatous amoebic encephalitis (category Waterborne diseases),set(),1
White dot syndromes (category Eye diseases),set(),1
Osteoarthritis (redirect from Degenerative joint disease),set(),1
Epididymitis (section Signs and symptoms),set(),1
Peritonsillar abscess (category Bacterial diseases),set(),1
Chilblains (category Foot diseases),set(),1
List of sugarcane diseases,set(),1
Laryngopharyngeal reflux (redirect from Laryngopharyngeal reflux disease),set(),1
Iridovirus dwarf gourami disease,set(),1
Mitochondrial DNA depletion syndrome (redirect from Alpers' disease),set(),1
Somatic Symptom Scale - 8,set(),1
"ICD-10 (redirect from ICD-10 Chapter H: Diseases of the eye, adnexa, ear, and mastoid process)",set(),1
Inclusion body myositis (section Signs and symptoms),set(),1
Coxsackie A virus (redirect from Coxsackie disease),set(),1
Coxsackie B4 virus (section Symptoms),set(),1
Craniocervical instability (category Human diseases and disorders),set(),1
Angor animi (redirect from Gairdner's disease),set(),1
Thorax,set(),1
Acute bronchitis (section Signs and symptoms),set(),1
Coccidioidomycosis (redirect from California disease),set(),1
Factitious disorder imposed on self (redirect from Fake disease),set(),1
Bed bug (section Society and culture),set(),1
Dhat syndrome (section Signs and symptoms),set(),1
Goodpasture syndrome (redirect from Goodpasture's disease),set(),1
Degenerative disc disease,set(),1
Patent medicine (section Patent medicines and advertising),set(),1
Pityriasis rosea (redirect from Gibert's disease),set(),1
Spinocerebellar ataxia (category Rare diseases),set(),1
Dyshidrosis (redirect from Chronic vesicular eczema of hands and feet),set(),1
Allopathic medicine,set(),1
Urologic disease,set(),1
Hyperemesis gravidarum (section Signs and symptoms),set(),1
Hypophosphatasia (category Rare diseases),set(),1
Weakness (category Symptoms and signs: Nervous system),set(),1
Lymphogranuloma venereum (redirect from Durand–Nicolas–Favre disease),set(),1
Coccidiosis (category Parasitic diseases),set(),1
Sever's disease,set(),1
Moyamoya disease,set(),1
Dry eye syndrome (redirect from Dry eye disease),set(),1
Ehrlichiosis (category Tick-borne diseases),set(),1
Canine distemper (category Dog diseases),set(),1
Osteomyelitis (category Bacterial diseases),set(),1
African trypanosomiasis (category Insect-borne diseases),set(),1
Ichthyosis (category Rare diseases),set(),1
Nephrotic syndrome (category Kidney diseases),set(),1
Jumping Frenchmen of Maine (section Signs and symptoms),set(),1
Adjustment disorder (section Signs and symptoms),set(),1
Study uncovers potential mechanism for increased fracture risk among PPI users,set(),1
Can consumers trust the health claims made on fish oil supplement labels?,set(),1
AAP warns against keto diet for children with diabetes,set(),1
European Respiratory Society: Doctors use patients' own lung cells to repair COPD damage,set(),1
What is the impact of vaccination after long COVID?,set(),1
Podcast Recap | AMA Update: Getting rid of stupid stuff to make your private practice more efficient,set(),1
FDA issues statement clarifying advisory committee findings on oral phenylephrine,set(),1
New AI tools help clinicians screen for mental health conditions,set(),1
NIH clinical trial of universal flu vaccine candidate begins,set(),1
"As more patients email doctors, health systems start charging fees",set(),1
Temozolamide indications updated under FDA's Project Renewal program,set(),1
Test your knowledge: COVID-19 vaccines for patients with recent SARS-CoV-2 infection,set(),1
Zebra of the Week: Huntington disease,set(),1
"Staying up late tied to unhealthy lifestyle, diabetes risk",set(),1
Study finds link between haloperidol use and risk of rheumatoid arthritis,set(),1
Does IV ferric carboxymaltose improve outcomes in patients with HF and iron deficiency?,set(),1
Suspected Legionella transmission from donor to two lung transplant recipients,set(),1
"One oral HIV PrEP regimen linked to higher risk of hypertension, statin use",set(),1
High levels of particulate air pollution associated with increased breast cancer incidence,set(),1
"COCA Call: Thurs., Sept. 21 - Diagnosing mycoses blastomycosis, coccidioidomycosis, and histoplasmosis",set(),1
Abortion bans fuel rise in high-risk patients heading to Illinois hospitals,set(),1
AHA: Cold weather may pose challenges to treating high blood pressure,set(),1
Ovarian cancer: NICE recommends expanding availability of genetic testing,set(),1
,set(),0
Curcumin and omeprazole compared in functional dyspepsia patients,set(),1
Antihypertensive use tied to reduced dementia risk in late life,set(),1
Does SSRI use during pregnancy affect a child’s brain development?,set(),1
"National Physician Suicide Awareness Day: Sunday, Sept. 17",set(),1
Being breastfed as an infant tied to increased colorectal cancer risk,set(),1
"Your COVID update for September 15, 2023",set(),1
New brand drug - Eylea HD (aflibercept intravitreal),set(),1
"Picture Quiz: A lumpy, red ear in a renal transplant patient",set(),1
Novel blood test for chronic fatigue syndrome has 91% accuracy,set(),1
Aldosterone synthase inhibitor shows promise as BP-lowering agent in phase 2 trial,set(),1
"COCA Call: Tues., Sept. 19 - Preparing for the upcoming respiratory virus season",set(),1
"What your patients are reading: Week of September 11, 2023",set(),1
Should ACS patients start with combination lipid therapy?,set(),1
Is investigational gefapixant effective for chronic cough?,set(),1
"What's this pill? | September 14, 2023",set(),1
"Are 10,000 steps per day really necessary to realize health benefits?",set(),1
epocrates Featured Calculator: Edinburgh Postnatal Depression Scale (EPDS),set(),1
FDA warns companies about marketing unapproved eye products,set(),1
Young boy suffering chronic pain for 3 years finally receives correct diagnosis from ChatGPT,set(),1
New brand drug - Brixadi (buprenorphine),set(),1
,set(),0
Which states vaccinate the most?,set(),1
FDA approves drug for stem cell mobilization for ASCT in multiple myeloma,set(),1
Statin use linked to lower colorectal cancer risk in patients with IBD,set(),1
,set(),0
Are expired OTC COVID-19 tests still safe and effective?,set(),1
NIH investigates multidrug-resistant bacterium emerging in community settings,set(),1
Increased risk of thyroid eye disease following COVID-19 vaccination,set(),1
Withdrawn indication - Gavreto (pralsetinib),set(),1
Zebra of the Week: Dravet syndrome,set(),1
What's the effect of hormone therapy on sexual function in postmenopausal women?,set(),1
,set(),0
,set(),0
Topical treatments for atopic dermatitis: How do they stack up?,set(),1
2023 flu vaccine cut hospitalizations by half in Southern Hemisphere,set(),1
Does NSAID use increase VTE risk among women using hormonal contraception?,set(),1
Providing vs. recommending prenatal supplements with iron to pregnant people,set(),1
Drug Shortage Update: FDA unclear when Wegovy supply limits will resolve,set(),1
Regenerative medicine: Scientists grow human kidneys in pigs,set(),1
Update: Outbreak of locally acquired malaria in Florida and Texas,set(),1
Statin cuts CV risk in patients with HIV infection,set(),1
New brand drug - Veopoz (pozelimab-bbfg),set(),1
Test your knowledge: Vibrio vulnificus wound infection risk,set(),1
FDA drops REMS requirement for alosetron (Lotronex),set(),1
CDC: Pneumococcal vaccine recommendations for adults,set(),1
,set(),0
Does meningococcal B vaccination protect against gonococcal infection?,set(),1
Could some patients with fibromyalgia potentially have hypophosphatasia?,set(),1
The shrinking number of primary care physicians is reaching a tipping point,set(),1
New formulation - Vigadrone (vigabatrin),set(),1
WHO: One in three men worldwide infected with genital HPV,set(),1
